Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,LotFrontage_null,MasVnrArea_null,GarageYrBlt_null
1,60,RL,4.174387269895637,9.041921720351219,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,5.0,5.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,Gd,TA,PConc,Gd,TA,No,GLQ,706.0,Unf,0.0,150.0,856.0,GasA,Ex,Y,SBrkr,6.752270376141742,854.0,0,7.444248649496705,1,0,2,1,3,1,Gd,8,Typ,0,Missing,Attchd,5.0,RFn,2,548.0,TA,TA,Y,0.0,61.0,0.0,0,0.0,0,Missing,0,2,2008,WD,Normal,12.247694320220994,0,0,0
2,20,RL,4.382026634673881,9.169518377455928,Pave,Reg,Lvl,AllPub,FR2,Gtl,Rare,Feedr,Norm,1Fam,1Story,6,8,31.0,31.0,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,978.0,Unf,0.0,284.0,1262.0,GasA,Ex,Y,SBrkr,7.140453043101158,0.0,0,7.140453043101158,0,1,2,0,3,1,TA,6,Typ,1,TA,Attchd,31.0,RFn,2,460.0,TA,TA,Y,298.0,0.0,0.0,0,0.0,0,Missing,0,5,2007,WD,Normal,12.109010932687042,0,0,0
3,60,RL,4.219507705176107,9.328123407632566,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,7.0,6.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,486.0,Unf,0.0,434.0,920.0,GasA,Ex,Y,SBrkr,6.824373670043086,866.0,0,7.487733761436444,1,0,2,1,3,1,Gd,6,Typ,1,TA,Attchd,7.0,RFn,2,608.0,TA,TA,Y,0.0,42.0,0.0,0,0.0,0,Missing,0,9,2008,WD,Normal,12.31716669303576,0,0,0
4,70,RL,4.0943445622221,9.164296433474776,Pave,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,91.0,36.0,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,TA,TA,BrkTil,TA,Gd,No,ALQ,216.0,Unf,0.0,540.0,756.0,GasA,Gd,Y,SBrkr,6.8679744089702925,756.0,0,7.448333860897476,1,0,1,0,3,1,Gd,7,Typ,1,Gd,Detchd,8.0,Unf,3,642.0,TA,TA,Y,0.0,35.0,0.0,0,0.0,0,Missing,0,2,2006,WD,Abnorml,11.84939770159144,0,0,0
5,60,RL,4.430816798843313,9.565213693968287,Pave,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,8.0,8.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,Gd,TA,PConc,Gd,TA,Av,GLQ,655.0,Unf,0.0,490.0,1145.0,GasA,Ex,Y,SBrkr,7.0431599159883405,1053.0,0,7.6953031349635665,1,0,2,1,4,1,Gd,9,Typ,1,TA,Attchd,8.0,RFn,3,836.0,TA,TA,Y,192.0,84.0,0.0,0,0.0,0,Missing,0,12,2008,WD,Normal,12.429216196844383,0,0,0
6,50,RL,4.442651256490317,9.55499334068759,Pave,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,16.0,14.0,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,Rare,Gd,TA,No,GLQ,732.0,Unf,0.0,64.0,796.0,GasA,Ex,Y,SBrkr,6.679599185844383,566.0,0,7.216709486709457,1,0,1,1,1,1,TA,5,Typ,0,Missing,Attchd,16.0,Unf,2,480.0,TA,TA,Y,40.0,30.0,0.0,320,0.0,0,MnPrv,700,10,2009,WD,Normal,11.870599909242044,0,0,0
7,20,RL,4.31748811353631,9.218705288307811,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,3.0,2.0,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1369.0,Unf,0.0,317.0,1686.0,GasA,Ex,Y,SBrkr,7.434847875211999,0.0,0,7.434847875211999,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,3.0,RFn,2,636.0,TA,TA,Y,255.0,57.0,0.0,0,0.0,0,Missing,0,8,2007,WD,Normal,12.634603026569334,0,0,0
8,60,RL,4.23410650459726,9.247828816387175,Pave,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,36.0,36.0,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,TA,TA,CBlock,Gd,TA,Mn,ALQ,859.0,BLQ,32.0,216.0,1107.0,GasA,Ex,Y,SBrkr,7.009408932708637,983.0,0,7.644919344958857,1,0,2,1,3,1,TA,7,Typ,2,TA,Attchd,36.0,RFn,2,484.0,TA,TA,Y,235.0,204.0,0.0,0,0.0,0,Missing,350,11,2009,WD,Normal,12.206072645530174,1,0,0
9,50,RM,3.9318256327243257,8.719317375506371,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,77.0,58.0,Gable,CompShg,BrkFace,Wd Shng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,952.0,952.0,GasA,Gd,Y,FuseF,6.92951677076365,752.0,0,7.480992162869525,0,0,2,0,2,2,TA,8,Min1,2,TA,Detchd,77.0,Unf,2,468.0,Fa,TA,Y,90.0,0.0,205.0,0,0.0,0,Missing,0,4,2008,WD,Abnorml,11.77452020265869,0,0,0
10,190,RL,3.912023005428146,8.911934336161426,Pave,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Rare,2fmCon,Rare,5,6,69.0,58.0,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,GLQ,851.0,Unf,0.0,140.0,991.0,GasA,Ex,Y,SBrkr,6.981934677156389,0.0,0,6.981934677156389,1,0,1,0,2,2,TA,5,Typ,2,TA,Attchd,69.0,RFn,1,205.0,Rare,TA,Y,0.0,4.0,0.0,0,0.0,0,Missing,0,1,2008,WD,Normal,11.678439903447801,0,0,0
11,20,RL,4.248495242049359,9.323669057283185,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,43.0,43.0,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,906.0,Unf,0.0,134.0,1040.0,GasA,Ex,Y,SBrkr,6.946975992135418,0.0,0,6.946975992135418,1,0,1,0,3,1,TA,5,Typ,0,Missing,Detchd,43.0,Unf,1,384.0,TA,TA,Y,0.0,0.0,0.0,0,0.0,0,Missing,0,2,2008,WD,Normal,11.771436160121729,0,0,0
12,60,RL,4.442651256490317,9.386308454797962,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,1.0,0.0,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,Ex,TA,PConc,Ex,TA,No,GLQ,998.0,Unf,0.0,177.0,1175.0,GasA,Ex,Y,SBrkr,7.074963197966044,1142.0,0,7.751045117971802,1,0,3,0,4,1,Ex,11,Typ,2,Gd,BuiltIn,1.0,Fin,3,736.0,TA,TA,Y,147.0,21.0,0.0,0,0.0,0,Missing,0,7,2006,New,Partial,12.751299696013497,0,0,0
13,20,RL,4.23410650459726,9.470240063415512,Pave,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,46.0,46.0,Hip,CompShg,HdBoard,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,737.0,Unf,0.0,175.0,912.0,GasA,TA,Y,SBrkr,6.815639990074331,0.0,0,6.815639990074331,1,0,1,0,2,1,TA,4,Typ,0,Missing,Detchd,46.0,Unf,1,352.0,TA,TA,Y,140.0,0.0,0.0,0,176.0,0,Missing,0,9,2008,WD,Normal,11.877568578558138,1,0,0
14,20,RL,4.51085950651685,9.273502946933823,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,1.0,0.0,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,Gd,TA,PConc,Gd,TA,Av,Unf,0.0,Unf,0.0,1494.0,1494.0,GasA,Ex,Y,SBrkr,7.309212365692763,0.0,0,7.309212365692763,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,1.0,RFn,3,840.0,TA,TA,Y,160.0,33.0,0.0,0,0.0,0,Missing,0,8,2007,New,Partial,12.540757571577291,0,0,0
15,20,RL,4.23410650459726,9.298351249298896,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,48.0,48.0,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,TA,TA,CBlock,TA,TA,No,BLQ,733.0,Unf,0.0,520.0,1253.0,GasA,TA,Y,SBrkr,7.133295954896068,0.0,0,7.133295954896068,1,0,1,1,2,1,TA,5,Typ,1,Fa,Attchd,48.0,RFn,1,352.0,TA,TA,Y,0.0,213.0,176.0,0,0.0,0,GdWo,0,5,2008,WD,Normal,11.964001084330445,1,0,0
16,45,RM,3.9318256327243257,8.719317375506371,Pave,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,Rare,7,8,78.0,6.0,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,832.0,832.0,GasA,Ex,Y,FuseA,6.74993119378857,0.0,0,6.74993119378857,0,0,1,0,2,1,TA,5,Typ,0,Missing,Detchd,16.0,Unf,2,576.0,TA,TA,Y,48.0,112.0,0.0,0,0.0,0,GdPrv,0,7,2007,WD,Normal,11.790557201568507,0,0,0
17,20,RL,4.23410650459726,9.327323087461798,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,40.0,40.0,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,ALQ,578.0,Unf,0.0,426.0,1004.0,GasA,Ex,Y,SBrkr,6.911747300251674,0.0,0,6.911747300251674,1,0,1,0,2,1,TA,5,Typ,1,TA,Attchd,40.0,Fin,2,480.0,TA,TA,Y,0.0,0.0,0.0,0,0.0,0,Missing,700,3,2010,WD,Normal,11.911701584927597,1,0,0
18,90,RL,4.276666119016055,9.286467732363734,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,39.0,39.0,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,Slab,Missing,Missing,Missing,Missing,0.0,Missing,0.0,0.0,0.0,GasA,TA,Y,SBrkr,7.16703787691222,0.0,0,7.16703787691222,0,0,2,0,2,2,TA,6,Typ,0,Missing,Rare,39.0,Unf,2,516.0,TA,TA,Y,0.0,0.0,0.0,0,0.0,0,Missing,500,10,2006,WD,Normal,11.407564949312402,0,0,0
19,20,RL,4.189654742026425,9.524786081697178,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Rare,Norm,1Fam,1Story,5,5,4.0,4.0,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,GLQ,646.0,Unf,0.0,468.0,1114.0,GasA,Ex,Y,SBrkr,7.01571242048723,0.0,0,7.01571242048723,1,0,1,1,3,1,Gd,6,Typ,0,Missing,Detchd,4.0,Unf,2,576.0,TA,TA,Y,0.0,102.0,0.0,0,0.0,0,Missing,0,6,2008,WD,Normal,11.976659481202368,0,0,0
20,20,RL,4.248495242049359,8.930626469173578,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,51.0,44.0,Hip,CompShg,BrkFace,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,504.0,Unf,0.0,525.0,1029.0,GasA,TA,Y,SBrkr,7.199678345691172,0.0,0,7.199678345691172,0,0,1,0,3,1,TA,6,Min1,0,Missing,Attchd,51.0,Unf,1,294.0,TA,TA,Y,0.0,0.0,0.0,0,0.0,0,MnPrv,0,5,2009,COD,Abnorml,11.842229212112828,0,0,0
21,60,RL,4.61512051684126,9.5620530240851,Pave,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,1.0,0.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,1158.0,1158.0,GasA,Ex,Y,SBrkr,7.05444965813294,1218.0,0,7.773173680482536,0,0,3,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,1.0,RFn,3,853.0,TA,TA,Y,240.0,154.0,0.0,0,0.0,0,Missing,0,11,2006,New,Partial,12.692503112461443,0,0,0
22,45,RM,4.04305126783455,8.915835074176277,Pave,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,Rare,7,7,77.0,57.0,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,Unf,0.0,Unf,0.0,637.0,637.0,GasA,Ex,Y,FuseF,7.010311867307229,0.0,0,7.010311867307229,0,0,1,0,3,1,Gd,6,Typ,1,Gd,Attchd,77.0,Unf,1,280.0,TA,TA,N,0.0,0.0,205.0,0,0.0,0,GdPrv,0,6,2007,WD,Normal,11.845102777308561,0,0,0
